"filename","processname","lastruntime","processpath","runcount","filesize","foldercreatedtime","foldermodifiedtime"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647076","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1691650266","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1691564173","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1691399574","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1691399171","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1689837015","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1689836869","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1689832417","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINDOWSTERMINAL.EXE-A9034C3F.pf","WINDOWSTERMINAL.EXE","1689752879","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.17.11461.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE","7","48345","1688105064","1691650277"
﻿"WINSDKSETUP.EXE-1169EF9F.pf","WINSDKSETUP.EXE","1688366448","C:\WINDOWS\TEMP\{37413C89-A4C9-442C-9496-27D77C875768}\.CR\WINSDKSETUP.EXE","3","31823","1688366458","1688366458"
﻿"WINSDKSETUP.EXE-AE4BA84C.pf","WINSDKSETUP.EXE","1688629300","C:\WINDOWS\TEMP\{583D18D5-24FB-4937-9F5E-48DADD41A607}\.CR\WINSDKSETUP.EXE","3","36316","1688629310","1688629310"
﻿"WINSDKSETUP.EXE-C9378947.pf","WINSDKSETUP.EXE","1688366455","C:\WINDOWS\TEMP\{2AB4780C-8734-48F0-B727-83CB3B4FB83D}\.BE\WINSDKSETUP.EXE","3","34878","1688366464","1688366464"
﻿"WINSTORE.APP.EXE-F41F8E7C.pf","WINSTORE.APP.EXE","1688104910","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSSTORE_11910.1002.5.0_X64__8WEKYB3D8BBWE\WINSTORE.APP.EXE","7","50529","1688104920","1688104920"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691744200","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691736593","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691703236","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691698814","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691665904","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691618628","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691609314","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","1691578992","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","0","10241","1688103315","1691744210"
﻿"WSL.EXE-59D55F1E.pf","WSL.EXE","1691743414","C:\WINDOWS\SYSTEM32\WSL.EXE","0","5578","1691743416","1691743416"
﻿"WUAUCLT.EXE-70318591.pf","WUAUCLT.EXE","1691702548","C:\WINDOWS\SYSTEM32\WUAUCLT.EXE","0","6145","1691655753","1691702558"
﻿"WUAUCLT.EXE-70318591.pf","WUAUCLT.EXE","1691667764","C:\WINDOWS\SYSTEM32\WUAUCLT.EXE","0","6145","1691655753","1691702558"
﻿"WUAUCLT.EXE-70318591.pf","WUAUCLT.EXE","1691655742","C:\WINDOWS\SYSTEM32\WUAUCLT.EXE","0","6145","1691655753","1691702558"
﻿"WWAHOST.EXE-3FD45057.pf","WWAHOST.EXE","1690516321","C:\WINDOWS\SYSTEM32\WWAHOST.EXE","7","85786","1688102998","1690516333"
﻿"WWAHOST.EXE-3FD45057.pf","WWAHOST.EXE","1688104979","C:\WINDOWS\SYSTEM32\WWAHOST.EXE","7","85786","1688102998","1690516333"
﻿"WWAHOST.EXE-3FD45057.pf","WWAHOST.EXE","1688104289","C:\WINDOWS\SYSTEM32\WWAHOST.EXE","7","85786","1688102998","1690516333"
﻿"WWAHOST.EXE-3FD45057.pf","WWAHOST.EXE","1688103291","C:\WINDOWS\SYSTEM32\WWAHOST.EXE","7","85786","1688102998","1690516333"
﻿"WWAHOST.EXE-3FD45057.pf","WWAHOST.EXE","1688102987","C:\WINDOWS\SYSTEM32\WWAHOST.EXE","7","85786","1688102998","1690516333"
﻿"XBOXGAMEBARSPOTIFY.EXE-C71D0BBF.pf","XBOXGAMEBARSPOTIFY.EXE","1688139950","C:\PROGRAM FILES\WINDOWSAPPS\SPOTIFYAB.SPOTIFYMUSIC_1.214.1149.0_X86__ZPDNEKDRZREA0\XBOXGAMEBARSPOTIFY.EXE","7","23451","1688139961","1688139961"
﻿"_UNINS.TMP-56EEDA13.pf","_UNINS.TMP","1689832057","C:\USERS\TEST\APPDATA\LOCAL\TEMP\IU-14D2N.TMP\_UNINS.TMP","3","19122","1689832067","1689832067"
