"name","caption","description","displayname","errorcontrol","pathname","processid","servicetype","started","startmode","startname","state","status","systemname"
ï»¿"diagnosticshub.standardcollector.service","Microsoft (R) ¶EÂ_¶°½u¾¹¼Ð·Ç¦¬¶°¾¹ªA°È","¶EÂ_¶°½u¾¹¼Ð·Ç¦¬¶°¾¹ªA°È¡C¦¹ªA°È°õ¦æ®É¡A·|¦¬¶°§Y®É ETW ¨Æ¥ó¨Ã¥[¥H³B²z¡C","Microsoft (R) ¶EÂ_¶°½u¾¹¼Ð·Ç¦¬¶°¾¹ªA°È","Normal","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"diagsvc","Diagnostic Execution Service","Executes diagnostic actions for troubleshooting support","Diagnostic Execution Service","Normal","C:\Windows\System32\svchost.exe -k diagnostics","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DiagTrack","Connected User Experiences and Telemetry","Connected User Experiences and Telemetry ªA°È¥i±Ò¥Î¤ä´©À³¥Îµ{¦¡¤º»P¤w³s½u¨Ï¥ÎªÌÅéÅçªº¥\¯à¡C¦¹¥~¡A¦¹ªA°È¥iºÞ²z¶EÂ_»P¨Ï¥Îª¬ªp¸ê°T (¥Î©ó§ï¶i Windows ¥­¥xªºÅéÅç»P«~½è) ªº¨Æ¥ó¾É¦V¦¬¶°»P¶Ç¿é (·í [·N¨£¤ÏÀ³»P¶EÂ_] ¤Uªº¶EÂ_»P¨Ï¥Îª¬ªpÁô¨pÅv¿ï¶µ³]©w¤w±Ò¥Î®É)¡C","Connected User Experiences and Telemetry","Normal","C:\Windows\System32\svchost.exe -k utcsvc -p","2792","Own Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"DialogBlockingService","DialogBlockingService","¹ï¸Ü¤è¶ô«ÊÂêªA°È","DialogBlockingService","Normal","C:\Windows\system32\svchost.exe -k DialogBlockingService","0","Share Process","Stopped","Disabled","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DispBrokerDesktopSvc","Åã¥Ü­ì«hªA°È","ºÞ²z¥»¾÷©M»·ºÝÅã¥Üªº³s½u»P³]©w","Åã¥Ü­ì«hªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","3716","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"DisplayEnhancementService","Åã¥Ü¼W±jªA°È","¥Î©óºÞ²zÅã¥Ü¼W±j¨Ò¦p«G«×±±¨îªA°È¡C","Åã¥Ü¼W±jªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DmEnrollmentSvc","¸Ë¸mºÞ²zµù¥UªA°È","°õ¦æ¸Ë¸mºÞ²zªº¸Ë¸mµù¥U¬¡°Ê","¸Ë¸mºÞ²zµù¥UªA°È","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"dmwappushservice","¸Ë¸mºÞ²zµL½uÀ³¥Î³q°T¨ó©w (WAP) ±À¼½°T®§¸ô¥ÑªA°È","¸ô¥Ñ¸Ë¸m±µ¦¬ªºµL½uÀ³¥Î³q°T¨ó©w (WAP) ±À¼½°T®§¡A¨Ã¦P¨B³B²z¸Ë¸mºÞ²z¤u§@¶¥¬q","¸Ë¸mºÞ²zµL½uÀ³¥Î³q°T¨ó©w (WAP) ±À¼½°T®§¸ô¥ÑªA°È","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"Dnscache","DNS Client","DNS ¥Î¤áºÝªA°È (dnscache) ·|¬°¦¹¹q¸£§Ö¨úºô°ì¦WºÙ¨t²Î (DNS) ¦WºÙ¨Ãµn¿ý§¹¾ãªº¹q¸£¦WºÙ¡C¦pªG³o­ÓªA°È³Q°±¤î¡A±N·|Ä~Äò¸ÑªR DNS ¦WºÙ¡CµM¦Ó¡A±N¤£·|§Ö¨ú DNS ¦WºÙ¬d¸ßªºµ²ªG¡A¦Ó¥B¤£·|µn¿ý¹q¸£¦WºÙ¡C¦pªG³o­ÓªA°È¤w°±¥Î¡A©Ò¦³¨Ì¦s©ó¥¦ªºªA°È³£±NµLªk±Ò°Ê¡C","DNS Client","Normal","C:\Windows\system32\svchost.exe -k NetworkService -p","1648","Share Process","Running","Auto","NT AUTHORITY\NetworkService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"DoSvc","Delivery Optimization","°õ¦æ¤º®e¶Ç»¼³Ì¨Î¤Æ¤u§@","Delivery Optimization","Normal","C:\Windows\System32\svchost.exe -k NetworkService -p","4972","Share Process","Running","Auto","NT Authority\NetworkService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"dot3svc","Wired AutoConfig","¦³½u¦Û°Ê³]©w (DOT3SVC) ªA°È­t³d¦b¤A¤Óºô¸ô¤¶­±¤W°õ¦æ IEEE 802.1X ÅçÃÒ¡C¦pªG¥Ø«eªº¦³½uºô¸ô³¡¸p±j¨î°õ¦æ 802.1X ÅçÃÒ¡A«hÀ³¸Ó³]©w°õ¦æ DOT3SVC ªA°È¥H«Ø¥ß²Ä¤G¼h³s½u¤Î/©Î´£¨Ñºô¸ô¸ê·½¦s¨ú¡C¥¼±j¨î°õ¦æ 802.1X ÅçÃÒªº¦³½uºô¸ô«h¤£¨ü DOT3SVC ªA°È¼vÅT¡C","Wired AutoConfig","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","localSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DPS","Diagnostic Policy Service","¶EÂ_­ì«hªA°È¯à°÷°»´ú Windows ¤¸¥óªº°ÝÃD¡B¶i¦æºÃÃø±Æ¸Ñ©M´£¨Ñ¸Ñ¨M¤è®×¡C¦pªG°±¤î¦¹ªA°È¡A«KµLªk¦A¶i¦æ¶EÂ_¡C","Diagnostic Policy Service","Normal","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","2776","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"DsmSvc","Device Setup Manager","±Ò¥Î¸Ë¸m¬ÛÃö³nÅéªº°»´ú¡B¤U¸ü¤Î¦w¸Ë¡C¦pªG°±¥Î¦¹ªA°È¡A¸Ë¸m¥i¯à·|¥H¹L´Áªº³nÅé³]©w¡A¥B¥i¯àµLªk¥¿±`¹B§@¡C","Device Setup Manager","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DsSvc","Data Sharing Service","´£¨ÑÀ³¥Îµ{¦¡¤§¶¡ªº¸ê®Æ¥N²z¡C","Data Sharing Service","Ignore","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","2140","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
