"shortcutname","linkpath","linkto","arguments","description","workingdirectory","iconlocation","brokenshortcut","hotkey","showcmd","modifytime"
ï»¿"x86_x64 Cross Tools Command Prompt for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\VC\x86_x64 Cross Tools Command Prompt for VS 2019.lnk","C:\Windows\System32\cmd.exe","/k "C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Auxiliary\Build\vcvarsx86_amd64.bat"","Open Visual Studio 2019 Tools Command Prompt for targeting x64 with x86-hosted tools","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688629241"
ï»¿"Visual Studio 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019.lnk","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe"," ","Microsoft Visual Studio 2019","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\"," ","No","None","Normal","1688626283"
ï»¿"Visual Studio Installer","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio Installer.lnk","C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"," "," ","C:\Program Files (x86)\Microsoft Visual Studio\Installer"," ","No","None","Normal","1688626200"
ï»¿"¶}©lµêÀÀ¾÷¾¹²Î­p¸ê®Æ°O¿ý","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Tools\¶}©lµêÀÀ¾÷¾¹²Î­p¸ê®Æ°O¿ý.lnk","C:\Windows\System32\perfmon.msc","/sysmon_wmi"," ","C:\Windows\system32\"," ","No","None","None","1689319580"
ï»¿"Application Verifier (X64)","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X64)\Application Verifier (X64).lnk","C:\Windows\System32\appverif.exe"," ","Application Verifier (X64)","C:\Windows\system32\"," ","No","None","Normal","1688629333"
ï»¿"Application Verifier Help","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X64)\Application Verifier Help.lnk","C:\Windows\System32\appverif.chm"," ","Application Verifier Help (external)","C:\Windows\system32\"," ","No","None","Normal","1688629333"
ï»¿"Application Verifier (WOW)","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X86)\Application Verifier (WOW).lnk","C:\Windows\SysWOW64\appverif.exe"," ","Application Verifier (WOW)","C:\Windows\SysWOW64\"," ","No","None","Normal","1688629333"
ï»¿"Windows App Cert Kit","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows App Certification Kit\Windows App Cert Kit.lnk","C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcertui.exe"," ","Shortcut to Windows App Cert Kit","C:\Program Files (x86)\Windows Kits\10\App Certification Kit\"," ","No","None","Normal","1688629347"
ï»¿"Documentation for Desktop Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Desktop Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\DesktopDevCenterLearn.url"," ","Documentation for Desktop Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629355"
ï»¿"Documentation for Windows Store Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Windows Store Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\WindowsStoreAppDevCenterLearn.url"," ","Documentation for Windows Store Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629356"
ï»¿"Samples for Desktop Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Samples for Desktop Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\DesktopDevCenterSamples.url"," ","Samples for Desktop Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629355"
ï»¿"Samples for Windows Store Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Samples for Windows Store Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\WindowsStoreAppDevCenterSamples.url"," ","Samples for Windows Store Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629356"
ï»¿"Tools for Desktop Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Tools for Desktop Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\DesktopDevCenterToolsDocumentation.url"," ","Tools for Desktop Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629355"
ï»¿"Tools for Windows Store Apps","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Tools for Windows Store Apps.lnk","C:\Program Files (x86)\Windows Kits\10\Shortcuts\WindowsStoreAppDevCenterToolsDocumentation.url"," ","Tools for Windows Store Apps","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629356"
ï»¿"Windows Software Development Kit","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Windows Software Development Kit.lnk","C:\Windows\explorer.exe",""C:\Program Files (x86)\Windows Kits\10\"","Shortcut to Windows Software Development Kit folder","C:\Program Files (x86)\Windows Kits\10\"," ","No","None","Normal","1688629355"
